service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4503599630773886,1,1,1,1,1,1,0,20140102,20140830
4503599630773892,1,1,1,1,1,1,0,20140102,20151231
4503599630810394,1,1,1,1,1,1,0,20140102,20151226
4503599631507892,1,1,1,1,1,0,0,20130102,20151231
4503599631507895,0,0,0,0,0,1,0,20130105,20151226
4503599631512310,1,1,1,1,1,0,0,20140102,20141231
4503599631529079,1,1,1,1,1,0,0,20140707,20140829
4503599631531208,1,1,1,1,1,1,0,20140102,20151231
4503599631532894,1,1,1,1,1,0,0,20131002,20141010
4503603923740912,1,1,1,1,1,0,0,20130902,20150703
4503603925963979,0,0,0,0,0,1,0,20140104,20141227
4503603927919092,1,1,1,1,1,0,0,20130919,20141010
4503603927925062,1,1,1,1,1,0,0,20131104,20141231
4503603927945615,0,1,0,0,1,1,0,20131029,20150828
4503603928043058,1,1,1,1,0,0,1,20140101,20141231
4503603928043059,0,0,0,0,1,1,0,20140103,20141227
4503603928044673,1,1,1,1,1,0,0,20140512,20151231
4503603928083809,1,1,1,1,1,0,0,20140901,20151231
4503603928083815,0,0,0,0,0,1,0,20140906,20151226
4503603928085450,1,1,1,1,1,1,0,20140901,20151231
4503603928094282,1,1,1,1,1,0,0,20140901,20141010
4503603928103735,1,1,1,1,1,0,0,20140901,20150828
4503603928122530,1,1,1,1,1,0,0,20140901,20141017
4503603928122875,1,1,1,1,1,0,0,20140901,20141022
4503603928124298,1,1,0,1,1,0,0,20140901,20141017
4503603928126922,1,1,1,1,1,0,0,20140901,20141022
4503603928127553,1,1,1,1,1,0,0,20140901,20141003
4503603928128454,1,1,0,1,1,0,0,20140901,20141003
4503603928130913,0,0,1,0,0,0,0,20140903,20141015
4503603928131953,0,0,0,0,1,0,0,20140905,20141017
4503603928132387,0,0,0,0,1,1,1,20140905,20141019
4503603928132661,0,0,0,0,0,1,0,20140906,20141018
4503603928137932,0,0,0,0,0,0,1,20140907,20141019
4503603928159326,1,1,1,1,1,0,0,20140929,20141017
4503603928159330,1,1,0,1,1,0,0,20140929,20141017
4503603928160205,0,0,1,0,0,0,0,20141001,20141015
4503603928160261,1,1,1,1,1,0,0,20140912,20141017
4503603928160316,0,0,0,0,0,1,0,20140913,20141018
4503603928160571,0,0,0,0,0,0,1,20140914,20141019
4503603928161427,1,1,1,1,1,0,0,20140912,20141022
4503603928162159,1,1,1,1,1,0,0,20140912,20141015
4503603928162211,0,0,1,0,0,0,0,20140917,20141015
4503603928162248,1,1,0,1,1,0,0,20140912,20141017
4503603928162702,1,1,1,1,1,1,0,20140912,20141022
4503603928163026,0,0,1,0,0,1,0,20140913,20141022
4503603928163865,1,1,1,1,1,0,0,20140912,20141017
4503603928165136,1,1,1,1,1,0,0,20140912,20141003
4503603928165784,0,0,0,0,0,1,0,20140913,20141004
4503603928166194,1,1,0,1,1,0,0,20140912,20141003
4503603928168209,0,0,0,0,1,0,0,20140912,20141017
4503603928169811,1,1,1,1,1,0,0,20141006,20141017
4503603928170661,0,0,1,0,0,0,0,20141008,20141015
4503603928171634,0,0,0,0,0,1,0,20141011,20141018
4503603928172420,1,1,0,1,1,0,0,20141006,20141017
4503603928173182,1,1,1,1,1,0,0,20141013,20151231
4503603928173556,0,0,0,1,0,0,0,20141016,20141016
4503603928175862,1,1,1,0,0,0,0,20141020,20141022
4503603928181812,1,1,0,0,0,0,0,20141020,20141021
4503603928182342,1,1,1,1,1,0,0,20141002,20141017
4503603928182392,0,0,0,0,0,1,0,20141004,20141018
4503603928182442,0,0,0,0,0,0,1,20141005,20141019
4503603928182770,0,0,1,0,0,0,0,20141022,20141022
4785078899048804,1,1,1,1,1,0,0,20140102,20141231
4785078899048805,1,1,1,1,0,0,0,20140102,20141231
4785078899048807,1,1,1,1,0,0,0,20140102,20141218
4785078899048812,1,1,1,1,0,0,0,20140102,20141231
4785078899048813,0,0,0,0,1,0,0,20140110,20141219
4785078899048823,0,0,0,0,1,0,0,20140110,20141219
4785078899048825,0,0,0,0,0,1,0,20140104,20141227
4785078899048826,0,0,0,0,0,1,0,20140104,20141227
4785078899048827,0,0,0,0,0,1,0,20140104,20141227
4785078899048828,0,0,0,0,1,1,0,20140103,20141227
4785078899048829,0,0,1,0,0,0,1,20140101,20141228
4785078899048830,0,0,0,0,0,0,1,20140105,20141228
4785078899048836,1,1,0,0,0,0,0,20140428,20141231
4785078899048843,0,0,0,0,1,0,0,20140103,20141226
4785078899048858,0,0,1,0,0,0,0,20140101,20141225
4785078899049044,1,1,1,1,1,0,0,20140106,20141219
4785078899049046,1,1,1,1,0,0,0,20140106,20141218
4785078899049048,1,1,1,1,0,1,0,20140104,20141227
4785078899049051,1,1,1,1,0,0,0,20140106,20141218
4785078899049061,0,0,0,0,1,0,0,20140110,20141219
4785078899049063,0,0,0,0,1,0,0,20140110,20141219
4785078899049066,0,0,0,0,0,1,0,20140104,20141227
4785078899049069,0,0,0,0,0,1,0,20140104,20141227
4785078899049077,0,0,0,0,0,0,1,20140105,20141221
4785078899049090,0,0,0,1,1,0,0,20140102,20141231
4785078899049092,0,0,0,1,0,0,0,20140102,20141231
4785078899049106,0,0,0,1,0,0,0,20140102,20141231
4785078899049108,0,0,0,0,1,0,0,20140103,20141226
4785078899049110,0,0,0,0,1,0,0,20140103,20141226
4785078899049159,0,0,1,0,0,0,0,20140101,20141228
