trip_id,start_time,end_time,headway_secs
4785078899048804,05:15:00,05:51:00,540
4785078899048805,06:00:00,06:55:00,300
4785078899048807,07:00:00,09:12:00,120
4785078899048808,09:15:00,15:57:00,180
4785078899048809,16:00:00,19:28:00,120
4785078899048810,19:30:00,19:57:00,180
4785078899048811,20:00:00,20:55:00,300
4785078899048812,21:00:00,23:55:00,420
4785078899048813,07:00:00,07:27:00,180
4785078899048814,07:30:00,09:28:00,120
4785078899048817,09:30:00,11:57:00,180
4785078899048818,12:00:00,12:58:00,120
4785078899048819,13:00:00,15:27:00,180
4785078899048820,15:30:00,19:42:00,120
4785078899048821,19:45:00,20:12:00,180
4785078899048823,20:15:00,24:55:00,240
4785078899048825,05:15:00,06:54:00,540
4785078899048826,07:00:00,09:10:00,300
4785078899048827,09:15:00,19:57:00,180
4785078899048828,20:00:00,24:56:00,240
4785078899048829,05:15:00,08:06:00,540
4785078899048830,08:15:00,09:25:00,420
4785078899048831,09:30:00,13:30:00,300
4785078899048832,13:30:00,15:12:00,360
4785078899048833,15:15:00,17:15:00,300
4785078899048834,17:15:00,23:55:00,240
4785078899048836,07:00:00,16:42:00,180
4785078899048840,16:45:00,18:57:00,120
4785078899048841,19:00:00,19:57:00,180
4785078899048842,20:00:00,20:56:00,240
4785078899048843,06:00:00,06:56:00,420
4785078899048844,07:00:00,16:27:00,180
4785078899048845,16:30:00,18:28:00,120
4785078899048846,18:30:00,19:57:00,180
4785078899048858,08:15:00,16:25:00,420
4785078899048859,16:30:00,21:55:00,300
4785078899048860,22:00:00,23:24:00,360
4785078899048861,23:30:00,23:51:00,420
4785078899048862,05:15:00,05:51:00,540
4785078899048863,06:00:00,06:55:00,300
4785078899048864,07:00:00,09:14:00,120
4785078899048865,09:15:00,15:57:00,180
4785078899048866,16:00:00,19:28:00,120
4785078899048867,19:30:00,19:57:00,180
4785078899048868,20:00:00,20:55:00,300
4785078899048869,21:00:00,23:55:00,420
4785078899048870,07:00:00,07:27:00,180
4785078899048871,07:30:00,09:28:00,120
4785078899048872,09:30:00,11:57:00,180
4785078899048873,12:00:00,12:58:00,120
4785078899048876,13:00:00,15:27:00,180
4785078899048878,19:45:00,20:12:00,180
4785078899048879,20:15:00,24:55:00,240
4785078899048880,15:30:00,19:42:00,120
4785078899048882,05:15:00,06:54:00,540
4785078899048884,07:00:00,09:10:00,300
4785078899048885,09:15:00,19:57:00,180
4785078899048886,20:00:00,24:56:00,240
4785078899048887,05:15:00,08:06:00,540
4785078899048888,08:15:00,09:25:00,420
4785078899048889,09:30:00,13:25:00,300
4785078899048890,13:30:00,15:12:00,360
4785078899048891,15:15:00,17:10:00,300
4785078899048892,17:15:00,23:55:00,240
4785078899048893,07:00:00,16:42:00,180
4785078899048894,16:45:00,18:57:00,120
4785078899048895,19:00:00,19:57:00,180
4785078899048896,20:00:00,20:56:00,240
4785078899048897,06:00:00,06:56:00,420
4785078899048898,07:00:00,16:27:00,180
4785078899048899,16:30:00,18:28:00,120
4785078899048900,18:30:00,19:57:00,180
4785078899048911,08:15:00,16:25:00,420
4785078899048912,16:30:00,21:55:00,300
4785078899048913,22:00:00,23:24:00,360
4785078899048914,23:30:00,23:51:00,420
4785078899049044,05:15:00,05:51:00,540
4785078899049045,06:00:00,06:55:00,300
4785078899049046,07:00:00,09:42:00,120
4785078899049047,09:45:00,12:57:00,180
4785078899049048,13:00:00,18:58:00,120
4785078899049049,19:00:00,19:57:00,180
4785078899049051,20:00:00,20:25:00,300
4785078899049052,20:30:00,23:53:00,420
4785078899049053,05:15:00,05:51:00,540
4785078899049054,06:00:00,06:55:00,300
4785078899049055,07:00:00,09:42:00,120
4785078899049056,09:45:00,12:57:00,180
4785078899049057,13:00:00,18:58:00,120
4785078899049058,19:00:00,19:57:00,180
4785078899049059,20:00:00,20:25:00,300
4785078899049060,20:30:00,23:53:00,420
4785078899049061,07:00:00,19:58:00,120
4785078899049062,07:00:00,19:58:00,120
4785078899049063,20:00:00,24:56:00,240
4785078899049064,20:00:00,24:56:00,240
4785078899049065,05:15:00,06:54:00,540
4785078899049066,07:00:00,08:10:00,300
4785078899049067,08:15:00,08:59:00,240
4785078899049068,09:00:00,12:57:00,180
4785078899049069,19:00:00,20:12:00,180
4785078899049070,20:15:00,24:55:00,240
4785078899049071,05:15:00,06:54:00,540
4785078899049072,07:00:00,08:10:00,300
4785078899049073,08:15:00,08:59:00,240
4785078899049074,09:00:00,12:57:00,180
4785078899049075,19:00:00,20:12:00,180
4785078899049076,20:15:00,24:55:00,240
4785078899049077,05:15:00,07:39:00,540
4785078899049078,05:15:00,07:39:00,540
4785078899049079,07:45:00,09:23:00,420
4785078899049080,07:45:00,09:23:00,420
4785078899049081,09:30:00,13:25:00,300
4785078899049082,09:30:00,13:25:00,300
4785078899049083,13:30:00,17:58:00,240
4785078899049084,13:30:00,17:58:00,240
4785078899049085,18:00:00,19:57:00,180
4785078899049086,18:00:00,19:57:00,180
4785078899049087,20:00:00,23:56:00,240
4785078899049088,20:00:00,23:56:00,240
4785078899049090,05:15:00,06:09:00,540
4785078899049091,05:15:00,06:09:00,540
4785078899049092,06:15:00,06:40:00,300
4785078899049093,06:15:00,06:40:00,300
4785078899049094,06:45:00,07:12:00,180
4785078899049095,06:45:00,07:12:00,180
4785078899049096,07:15:00,09:57:00,120
4785078899049097,07:15:00,09:57:00,120
4785078899049098,10:00:00,11:27:00,180
4785078899049099,10:00:00,11:27:00,180
4785078899049100,11:30:00,19:42:00,120
4785078899049101,11:30:00,19:42:00,120
4785078899049102,19:45:00,20:12:00,180
4785078899049103,19:45:00,20:12:00,180
4785078899049104,20:15:00,20:55:00,300
4785078899049105,20:15:00,20:55:00,300
4785078899049106,21:00:00,23:55:00,420
4785078899049107,21:00:00,23:55:00,420
4785078899049108,06:15:00,06:55:00,300
4785078899049109,06:15:00,06:55:00,300
4785078899049110,07:00:00,07:27:00,180
4785078899049111,07:00:00,07:27:00,180
4785078899049112,07:30:00,09:58:00,120
4785078899049113,07:30:00,09:58:00,120
4785078899049114,10:00:00,11:42:00,180
4785078899049115,10:00:00,11:42:00,180
4785078899049116,11:45:00,18:57:00,120
4785078899049117,11:45:00,18:57:00,120
4785078899049118,19:00:00,19:42:00,180
4785078899049119,19:00:00,19:42:00,180
